countryLabel,totalStudents
United States of America,8725491
Russia,1842488
France,1660700
Pakistan,1356266
Poland,1077976
Indonesia,894814
Ukraine,816654
People's Republic of China,752394
Nigeria,697634
Egypt,554840
Japan,533360
Taiwan,491555
United Kingdom,484025
Italy,457445
Mexico,360883
Sweden,325394
Soviet Union,244420
Romania,229860
Austria,222905
Netherlands,221668
Brazil,206228.475
Greece,204961
Spain,174556
Costa Rica,173980
Canada,153798
Norway,148471
Belarus,127080
Saudi Arabia,124082
Germany,116453
Palestine,102426
Algeria,100827
Kazakhstan,95885
Iran,93740
South Africa,87910
Israel,82623
Turkey,82353
Hungary,72336
Democratic Republic of the Congo,71854
Azerbaijan,71223
India,70374
Kyrgyzstan,70000
Thailand,68099
Finland,66365
Uzbekistan,63285
Bulgaria,62461
Croatia,60600
Austria-Hungary,58014
Czech Republic,56221
Bahrain,55170
Jordan,55170
Kuwait,55170
Lebanon,55170
Oman,55170
Moldova,49350
Austrian Empire,48000
Ireland,47100
Fiji,46298
Lithuania,44588
Tajikistan,41680
Switzerland,41091
Belgium,35819
Peru,34816
Denmark,32353
Kenya,31723
Chile,31249
Second Polish Republic,30000
Iraq,28591
Georgia,28485
Colombia,26000
Australia,25000
Mali,25000
Morocco,23209
Afghanistan,22000
Bosnia and Herzegovina,20669
Niger,20400
Timor-Leste,20013
Cambodia,20000
Mongolia,19809
Syria,18603
Botswana,18176
Papua New Guinea,18000
Malaysia,17991
New Zealand,17299
Tuvalu,16980
Tonga,16980
Solomon Islands,16980
Nauru,16980
Marshall Islands,16980
Kiribati,16980
Cook Islands,16980
Niue,16980
Tokelau,16980
Philippines,16151
Armenia,14948
Yemen,14042
Estonia,13000
Byelorussian Soviet Socialist Republic,12000
Jamaica,12000
Ecuador,11094
North Korea,10000
Kosovo,9740
Singapore,9697
Turkmenistan,9090
North Macedonia,9000
Ghana,9000
Albania,7985
Iceland,6300
Chad,6000
Serbia,5892.527
Eswatini,5620
Nazi Germany,4726
Portugal,4500
Northern Cyprus,3173
South Ossetia,3000
Haiti,3000
Andorra,1741
Greenland,650
Cyprus,500
Qatar,300
Guyana,260
Sudan,
